Source,Target,Weight,Type
Baudeau_1,Baudeau_2,1206,undirected
Baudeau_1,Condorcet_2,14,undirected
Baudeau_1,dHolbach_1,4,undirected
Baudeau_1,Guibert_1,1,undirected
Baudeau_1,Jaucourt_2,14,undirected
Baudeau_1,Jussieu_1,406,undirected
Baudeau_1,Jussieu_2,574,undirected
Baudeau_1,Meister_2,3,undirected
Baudeau_1,Rivière_1,2,undirected
Baudeau_1,Rivière_2,22,undirected
Baudeau_2,Baudeau_1,1206,undirected
Baudeau_2,Condorcet_2,1,undirected
Baudeau_2,dHolbach_1,124,undirected
Baudeau_2,Guibert_1,7,undirected
Baudeau_2,Jaucourt_2,1,undirected
Baudeau_2,Jussieu_1,474,undirected
Baudeau_2,Jussieu_2,682,undirected
Chastellux_1,Chastellux_2,1206,undirected
Chastellux_1,Diderot II_1,21,undirected
Chastellux_1,Jaucourt_2,10,undirected
Chastellux_1,La Grange_2,27,undirected
Chastellux_1,Morellet_1,223,undirected
Chastellux_1,Naigeon_1,12,undirected
Chastellux_1,Raynal_1,564,undirected
Chastellux_1,Raynal_2,478,undirected
Chastellux_1,Saint-Lambert_1,62,undirected
Chastellux_2,Chastellux_1,1206,undirected
Chastellux_2,Diderot_1,13,undirected
Chastellux_2,Jaucourt_1,52,undirected
Chastellux_2,Jaucourt_2,253,undirected
Chastellux_2,Morellet_1,159,undirected
Chastellux_2,Naigeon_1,2,undirected
Chastellux_2,Raynal_1,442,undirected
Chastellux_2,Raynal_2,75,undirected
Condorcet_1,Condorcet_2,1206,undirected
Condorcet_1,dHolbach_2,59,undirected
Condorcet_1,Guibert_1,3,undirected
Condorcet_1,Guibert_2,211,undirected
Condorcet_1,H_only_1,64,undirected
Condorcet_1,H_only_2,128,undirected
Condorcet_1,Jussieu_1,316,undirected
Condorcet_1,Jussieu_2,311,undirected
Condorcet_1,Rivière_1,1,undirected
Condorcet_2,Baudeau_1,14,undirected
Condorcet_2,Baudeau_2,1,undirected
Condorcet_2,Condorcet_1,1206,undirected
Condorcet_2,dHolbach_1,177,undirected
Condorcet_2,Guibert_1,7,undirected
Condorcet_2,Guibert_2,6,undirected
Condorcet_2,H_only_1,2,undirected
Condorcet_2,H_only_2,56,undirected
Condorcet_2,Jaucourt_1,28,undirected
Condorcet_2,Jaucourt_2,30,undirected
Condorcet_2,Jussieu_1,246,undirected
Condorcet_2,Jussieu_2,153,undirected
Condorcet_2,Meister_1,22,undirected
Condorcet_2,Meister_2,79,undirected
Condorcet_2,Saint-Lambert_1,26,undirected
Condorcet_2,Saint-Lambert_2,2,undirected
Deleyre_1,Deleyre_2,1206,undirected
Deleyre_1,H_only_1,20,undirected
